adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	fye	pdate	effdate	form	filed	accepted	instance	nciks	aciks
0001104659-23-054150	1021153	LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT L	US	NY	SYRACUSE	13202	100 MADISON STREET	SUITE 1860	3154288420	US	NY	SYRACUSE	13202	100 MADISON STREET	SUITE 1860	US	NY	161505436	LINCOLN LIFE & ANNUITY VAR ANN SEP ACCT L GROUP VAR ANN II	19960819	1231			497	20230501	2023-05-01 14:12:00.0	tm237894d7_497_htm.xml	1	
0001104659-23-054163	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 14:18:00.0	tm236898d7_497_htm.xml	1	
0001104659-23-054182	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 14:35:00.0	tm235680d5_497_htm.xml	1	
0001104659-23-054191	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 14:40:00.0	tm235685d5_497_htm.xml	1	
0001104659-23-054202	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 14:45:00.0	tm235702d5_497_htm.xml	1	
0001104659-23-054210	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 14:53:00.0	tm235815d5_497_htm.xml	1	
0001104659-23-054229	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 15:03:00.0	tm235536d3_497_htm.xml	1	
0001104659-23-054231	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 15:03:00.0	tm238692d1_497_htm.xml	1	
0001104659-23-054246	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 15:17:00.0	tm235893d5_497_htm.xml	1	
0001104659-23-054251	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 15:21:00.0	tm235895d5_497_htm.xml	1	
0001104659-23-054254	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 15:26:00.0	tm235898d5_497_htm.xml	1	
0001104659-23-054266	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 15:34:00.0	tm235901d5_497_htm.xml	1	
0001104659-23-054274	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 15:40:00.0	tm235859d5_497_htm.xml	1	
0001104659-23-054280	892657	JOHNSON MUTUAL FUNDS TRUST	US	OH	CINCINNATI	45247	3777 WEST FORK ROAD		5136613100	US	OH	CINCINNATI	45247	JOHNSON MUTUAL FUNDS TRUST	3777 WEST FORK ROAD	US	OH	316455344	JOHNSON INVESTMENT MUTUAL FUNDS TRUST	19930328	1231	20230501	20230428	485BPOS	20230501	2023-05-01 15:46:00.0	tm2311781-1_485bpos_htm.xml	1	
0001104659-23-054285	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 15:48:00.0	tm235863d5_497_htm.xml	1	
0001104659-23-054296	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 15:55:00.0	tm235905d5_497_htm.xml	1	
0001104659-23-054307	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 15:59:00.0	tm235909d5_497_htm.xml	1	
0001104659-23-054327	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 16:04:00.0	tm235894d5_497_htm.xml	1	
0001104659-23-054359	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 16:12:00.0	tm235896d5_497_htm.xml	1	
0001104659-23-054380	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 16:21:00.0	tm235902d3_497_htm.xml	1	
0001104659-23-054394	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 16:26:00.0	tm235907d5_497_htm.xml	1	
0001104659-23-054399	1093278	LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	STE 1860	3154288420	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	SUITE 1860	US	NY	161505436			1231			497	20230501	2023-05-01 16:27:00.0	tm236748d7_497_htm.xml	1	
0001104659-23-054404	1093278	LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	STE 1860	3154288420	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	SUITE 1860	US	NY	161505436			1231			497	20230501	2023-05-01 16:29:00.0	tm236757d7_497_htm.xml	1	
0001104659-23-054405	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230501	2023-05-01 16:29:00.0	tm2312639d5_497_htm.xml	1	
0001104659-23-054418	847552	LINCOLN NATIONAL VARIABLE ANNUITY ACCOUNT H	US	IN	FORT WAYNE	46802	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46802	P O BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 16:33:00.0	tm236751d7_497_htm.xml	1	
0001104659-23-054424	1093278	LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	STE 1860	3154288420	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	SUITE 1860	US	NY	161505436			1231			497	20230501	2023-05-01 16:36:00.0	tm238692d1_497_htm.xml	1	
0001104659-23-054429	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 16:40:00.0	tm238692d1_497_htm.xml	1	
0001104659-23-054435	1093278	LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	STE 1860	3154288420	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	SUITE 1860	US	NY	161505436			1231			497	20230501	2023-05-01 16:41:00.0	tm236903d7_497_htm.xml	1	
0001104659-23-054441	1093278	LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	STE 1860	3154288420	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	SUITE 1860	US	NY	161505436			1231			497	20230501	2023-05-01 16:43:00.0	tm236928d7_497_htm.xml	1	
0001104659-23-054442	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 16:44:00.0	tm235538d5_497_htm.xml	1	
0001104659-23-054445	1045008	LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT H	US	NY	SYRACUSE	13202-2802	100 MADISON ST	SUITE 1860	3154288420	US	NY	SYRACUSE	13202	100 MADISON ST	SUITE 1860	US	NY	000000000			1231			497	20230501	2023-05-01 16:45:00.0	tm236892d7_497_htm.xml	1	
0001104659-23-054450	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 16:47:00.0	tm235535d5_497_htm.xml	1	
0001104659-23-054458	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230501	2023-05-01 16:48:00.0	tm235889d5_497_htm.xml	1	
0001104659-23-054478	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 16:52:00.0	tm235531d5_497_htm.xml	1	
0001104659-23-054496	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 16:58:00.0	tm235527d5_497_htm.xml	1	
0001104659-23-054502	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 17:00:00.0	tm235539d5_497_htm.xml	1	
0001104659-23-054511	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 17:04:00.0	tm2312847d3_497_htm.xml	1	
0001104659-23-054516	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 17:06:00.0	tm235236d3_497_htm.xml	1	
0001104659-23-054519	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230501	2023-05-01 17:08:00.0	tm235541d5_497_htm.xml	1	
0001104659-23-054526	1045008	LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT H	US	NY	SYRACUSE	13202-2802	100 MADISON ST	SUITE 1860	3154288420	US	NY	SYRACUSE	13202	100 MADISON ST	SUITE 1860	US	NY	000000000			1231			497	20230501	2023-05-01 17:10:00.0	tm236927d7_497_htm.xml	1	
0001104659-23-054528	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 17:12:00.0	tm236910d7_497_htm.xml	1	
0001104659-23-054538	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 17:15:00.0	tm236733d7_497_htm.xml	1	
0001104659-23-054540	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 17:17:00.0	tm236732d7_497_htm.xml	1	
0001104659-23-054542	1048607	LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT M	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2194552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 17:17:00.0	tm236728d7_497_htm.xml	1	
0001104659-23-054544	1093278	LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	STE 1860	3154288420	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	SUITE 1860	US	NY	161505436			1231			497	20230501	2023-05-01 17:19:00.0	tm236883d7_497_htm.xml	1	
0001104659-23-054552	1045008	LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT H	US	NY	SYRACUSE	13202-2802	100 MADISON ST	SUITE 1860	3154288420	US	NY	SYRACUSE	13202	100 MADISON ST	SUITE 1860	US	NY	000000000			1231			497	20230501	2023-05-01 17:21:00.0	tm236896d7_497_htm.xml	1	
0001104659-23-054555	1045008	LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT H	US	NY	SYRACUSE	13202-2802	100 MADISON ST	SUITE 1860	3154288420	US	NY	SYRACUSE	13202	100 MADISON ST	SUITE 1860	US	NY	000000000			1231			497	20230501	2023-05-01 17:24:00.0	tm236904d7_497_htm.xml	1	
0001104659-23-054569	847552	LINCOLN NATIONAL VARIABLE ANNUITY ACCOUNT H	US	IN	FORT WAYNE	46802	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46802	P O BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 17:29:00.0	tm236890d7_497_htm.xml	1	
0001104659-23-054572	847552	LINCOLN NATIONAL VARIABLE ANNUITY ACCOUNT H	US	IN	FORT WAYNE	46802	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46802	P O BOX 1110		US	IN	350472300			1231			497	20230501	2023-05-01 17:30:00.0	tm236747d7_497_htm.xml	1	
0001104659-23-054578	832908	PACIFIC SELECT EXEC SEPARATE ACCT PACIFIC LIFE INS	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	PO BOX 7500		US	CA	000000000			1231			497	20230502	2023-05-01 17:33:00.0	tm235544d5_497_htm.xml	1	
0001104659-23-054586	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 17:49:00.0	tm236919d7_497_htm.xml	1	
0001104659-23-054587	1045008	LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT H	US	NY	SYRACUSE	13202-2802	100 MADISON ST	SUITE 1860	3154288420	US	NY	SYRACUSE	13202	100 MADISON ST	SUITE 1860	US	NY	000000000			1231			497	20230502	2023-05-01 17:51:00.0	tm238692d1_497_htm.xml	1	
0001104659-23-054593	1045008	LINCOLN LIFE & ANNUITY VARIABLE ANNUITY ACCOUNT H	US	NY	SYRACUSE	13202-2802	100 MADISON ST	SUITE 1860	3154288420	US	NY	SYRACUSE	13202	100 MADISON ST	SUITE 1860	US	NY	000000000			1231			497	20230502	2023-05-01 18:04:00.0	tm236902d7_497_htm.xml	1	
0001104659-23-054595	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 18:08:00.0	tm236895d7_497_htm.xml	1	
0001104659-23-054598	1093278	LINCOLN NEW YORK ACCOUNT N FOR VARIABLE ANNUITIES	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	STE 1860	3154288420	US	NY	SYRACUSE	13202-2808	100 MADISON STREET	SUITE 1860	US	NY	161505436			1231			497	20230502	2023-05-01 18:19:00.0	tm236756d7_497_htm.xml	1	
0001104659-23-054605	847552	LINCOLN NATIONAL VARIABLE ANNUITY ACCOUNT H	US	IN	FORT WAYNE	46802	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46802	P O BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 18:27:00.0	tm238692d1_497_htm.xml	1	
0001104659-23-054610	847552	LINCOLN NATIONAL VARIABLE ANNUITY ACCOUNT H	US	IN	FORT WAYNE	46802	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46802	P O BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 18:45:00.0	tm236745d7_497_htm.xml	1	
0001104659-23-054611	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 18:46:00.0	tm236742d7_497_htm.xml	1	
0001104659-23-054620	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 19:01:00.0	tm236741d7_497_htm.xml	1	
0001104659-23-054624	1048606	LINCOLN LIFE VARIABLE ANNUITY ACCOUNT N	US	IN	FORT WAYNE	46801	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46801	PO BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 19:05:00.0	tm236925d7_497_htm.xml	1	
0001104659-23-054627	847552	LINCOLN NATIONAL VARIABLE ANNUITY ACCOUNT H	US	IN	FORT WAYNE	46802	1300 S CLINTON ST	PO BOX 1110	2604552000	US	IN	FORT WAYNE	46802	P O BOX 1110		US	IN	350472300			1231			497	20230502	2023-05-01 19:14:00.0	tm236759d7_497_htm.xml	1	
0001104659-23-054821	1817186	PLICO VARIABLE ANNUITY ACCOUNT S	US	AL	BIRMINGHAM	35223	2801 HIGHWAY 280 SOUTH		2052682988	US	AL	BIRMINGHAM	35223	2801 HIGHWAY 280 SOUTH		US	TN	000000000			1231			497	20230502	2023-05-02 08:51:00.0	tm239972d9_497_htm.xml	1	
0001104659-23-054822	1817186	PLICO VARIABLE ANNUITY ACCOUNT S	US	AL	BIRMINGHAM	35223	2801 HIGHWAY 280 SOUTH		2052682988	US	AL	BIRMINGHAM	35223	2801 HIGHWAY 280 SOUTH		US	TN	000000000			1231			497	20230502	2023-05-02 08:53:00.0	tm239971d9_497_htm.xml	1	
0001104659-23-055357	732041	FPA U.S. CORE EQUITY FUND, INC.	US	CA	LOS ANGELES	90025	11601 WILSHIRE BOULEVARD	SUITE 1200	310-473-0225	US	CA	LOS ANGELES	90025	11601 WILSHIRE BOULEVARD	SUITE 1200	US	MD	953901760	FPA U.S. VALUE FUND INC	20150901	1231	20230428	20230502	497	20230503	2023-05-03 11:56:00.0	tm2312383d4_497_htm.xml	1	
0001104659-23-055445	1520738	BROOKFIELD INVESTMENT FUNDS	US	NY	NEW YORK	10281-1023	BROOKFIELD PLACE	250 VESEY STREET, 15TH FLOOR	212-549-8400	US	NY	NEW YORK	10281-1023	BROOKFIELD PLACE	250 VESEY STREET, 15TH FLOOR	US	NY	611652095	BROOKFIELD INVESTMENT MANAGEMENT INC.	20130429	1231	20230501	20230503	497	20230503	2023-05-03 15:19:00.0	tm239850-7_497_htm.xml	1	
0001104659-23-057532	887340	MAINSTAY VP FUNDS TRUST	US	NY	NEW YORK	10010	51 MADISON AVE		2125767000	US	NY	NEW YORK	10010	51 MADISON AVE		US	DE	133186036	MAINSTAY VP SERIES FUND INC	20010518	1231	20230501	20230509	497	20230509	2023-05-09 09:22:00.0	tm2314167-2_497_htm.xml	1	
0001104659-23-058271	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230510	2023-05-10 14:50:00.0	tm2315156d14_497_htm.xml	1	
0001104659-23-058278	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230510	2023-05-10 14:54:00.0	tm2315156d14_497_htm.xml	1	
0001104659-23-058285	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230510	2023-05-10 14:55:00.0	tm2315156d14_497_htm.xml	1	
0001104659-23-058292	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230510	2023-05-10 14:57:00.0	tm2315156d14_497_htm.xml	1	
0001104659-23-058302	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230510	2023-05-10 15:00:00.0	tm2315156d14_497_htm.xml	1	
0001104659-23-058310	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230510	2023-05-10 15:02:00.0	tm2315156d19_497_htm.xml	1	
0001104659-23-058316	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230510	2023-05-10 15:04:00.0	tm2315156d19_497_htm.xml	1	
0001104659-23-058321	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230510	2023-05-10 15:06:00.0	tm2315156d19_497_htm.xml	1	
0001104659-23-058331	1074486	SEPARATE ACCOUNT A OF PACIFIC LIFE & ANNUITY CO	US	CA	NEWPORT BEACH	92660	700 NEWPORT CTR DR		7146403326							US	CA	000000000	SEPARATE ACCOUNT A OF PM GROUP LIFE INSURANCE CO	19981201	1231			497	20230510	2023-05-10 15:09:00.0	tm2315156d19_497_htm.xml	1	
0001104659-23-058334	935823	SEPARATE ACCOUNT A OF PACIFIC LIFE INSURANCE CO	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500		7146403743	US	CA	NEWPORT BEACH	92658-7500	P O BOX 7500				000000000	SEPARATE ACCOUNT A OF PACIFIC MUTUAL LIFE INS CO	19950119	1231			497	20230510	2023-05-10 15:11:00.0	tm2315156d23_497_htm.xml	1	
